# HR   HD     Vmag  B-V   SpType            
  161  3457   6.39  1.33  K4III             
  162  3488   6.41  1.0   K0II-IIICNIV      
  163  3546   4.37  0.87  G6IIIFe-3CH1      
  164  3574   5.43  1.64  K7III             
  165  3627   3.27  1.28  K3III             
  166  3651   5.87  0.85  K0+V              
  167  3690   5.36  1.16  K0III+F3V         
  168  3712   2.23  1.17  K0IIIa            
  169  3719   6.85  0.11  A1m               
  170  3735   6.69  0.51  F8V               
  171  3750   6.01  1.14  K1IIICNII         
  172  3794   6.49  0.92  G5                
  173  3795   6.14  0.7   G3V               
  174  3807   5.91  1.1   K0III             
  175  3817   5.33  0.89  G8III             
  176  3823   5.89  0.55  G1V               
  177  3856   5.83  1.04  G9III-IV          
  178  3883   6.04  0.26  A7m               
  179  3901   4.8   -0.11 B2V               
  180  3919   4.59  0.97  G8III             
  181  3924   6.17  -0.01 B9.5III           
  182  0      ""    ""    ""                
  183  3980   5.7   0.2   ApSrEuCr          
  184  4058   4.94  0.18  A5V               
  185  4065   6.06  -0.03 A0V               
  186  4088   5.98  1.32  K5III             
  187  4089   5.39  0.5   F6V               
  188  4128   2.04  1.02  G9.5IIICH-1       
  189  4142   5.67  -0.12 B5V               
  190  4145   6.02  1.1   K2III-IV          
  191  4150   4.36  0.0   A0IV              
  192  4161   5.66  0.05  A2IV              
  193  4180   4.54  -0.07 B5IIIe            
  194  4188   4.76  1.01  K0III             
  195  4211   5.9   1.16  K1III             
  196  4222   5.42  0.04  "A2V s"           
  197  4247   5.24  0.33  F1III-IV          
  198  4293   5.94  0.28  F0V               
  199  4294   6.07  0.44  F5III-IV          
  200  4295   6.33  ""    F3V               
  201  4301   6.15  1.62  M0III             
  202  4304   6.15  0.53  F7III             
  203  4307   6.15  0.61  G0V               
  204  4321   6.52  ""    A2III             
  205  4335   6.05  -0.07 B9.5IIIpHgMnCr    
  206  4338   6.47  0.31  F1IVn             
  207  4362   6.39  1.09  G0Ib              
  208  4382   5.41  -0.08 B8III             
  209  4391   5.8   0.64  G1V               
  210  4398   5.5   0.98  G3V               
  211  4408   5.38  1.65  M4IIIa            
  212  4440   5.87  1.01  K0IV              
  213  4482   5.5   0.97  G8II              
  214  4490   6.13  0.27  F0Vn              
  215  4502   4.06  1.12  K1IIe             
  216  4526   5.99  0.94  G8III             
  217  4568   6.54  0.5   F8V               
  218  4585   5.7   1.3   K3III             
  219  4614   3.44  0.57  F9V+dM0           
  220  4622   5.57  -0.06 B9V               
  221  4627   5.93  1.1   G8III             
  222  4628   5.75  0.88  K2V               
  223  4636   4.89  -0.11 B9III             
  224  4656   4.43  1.5   K4IIIb            
  225  4676   5.07  0.51  F8V               
  226  4727   4.53  -0.15 B5V+F8V           
  227  4730   5.59  1.3   K5III             
  228  4732   5.9   0.95  K2III             
  229  4737   6.27  0.9   G8III             
  230  4757   7.0   0.36  F4III             
  231  4758   7.1   ""    F5III             
  232  4772   6.28  0.13  A3V               
  233  4775   5.39  0.49  G0III-IV+B9.5V    
  234  4778   6.15  0.01  A0pCr             
  235  4813   5.19  0.5   F7IV-V            
  236  4815   5.07  1.37  K5III             
  237  4817   6.07  1.88  K2Ib-IICN-2       
  238  4818   6.39  0.28  F2IV              
  239  4849   6.48  0.29  A9-F0III          
  240  4853   5.62  0.09  A4V               
  241  4881   6.21  ""    B9.5V             
  242  4919   5.22  0.36  F2III             
  243  4928   6.37  1.07  K0III             
  244  5015   4.82  0.53  F8V               
  245  5042   6.9   0.35  F2V+F5V           
  246  5066   6.69  0.02  A2V               
  247  5098   5.46  1.24  K2III             
  248  5112   4.77  1.57  M0III             
  249  5118   6.06  1.14  gK3               
  250  5128   6.27  0.19  A5m               
  251  5156   6.46  0.44  F6IV-V            
  252  5190   6.22  0.56  F7IV-V            
  253  5234   4.83  1.21  K2III             
  254  5267   5.74  -0.01 A1VN              
  255  5268   6.16  0.92  G5IV              
  256  5273   6.27  1.68  M2.5IIIa          
  257  5276   5.7   1.56  M4III             
  258  5286   5.47  1.0   K1IV              
  259  5316   6.2   1.62  M4IIIab           
