# HR   HD     Vmag  B-V   SpType            
  2661 53349  6.02  0.3   A8III             
  2662 53501  5.17  1.4   K3III             
  2663 53510  5.78  1.52  M0III             
  2664 53629  6.09  1.22  K0                
  2665 53686  5.91  1.51  gK4               
  2666 53704  5.2   0.2   Am                
  2667 53705  5.54  0.64  G3V               
  2668 53706  6.79  0.8   K0V               
  2669 53744  6.48  -0.09 B9V               
  2670 53755  6.49  -0.05 B0.5V+F5III       
  2671 53791  7.68  2.21  S3.9e             
  2672 53811  4.93  0.13  A4IV              
  2673 53899  6.28  1.34  K1                
  2674 53921  5.5   -0.11 B9IV              
  2675 53925  6.16  1.21  K1III             
  2676 53929  6.11  -0.13 B9.5III           
  2677 53952  6.14  0.37  F2V               
  2678 53974  5.39  0.05  B0.5IV            
  2679 53975  6.48  -0.1  O7.5V             
  2680 54031  6.34  -0.16 B3V               
  2681 54070  6.35  1.12  K0                
  2682 54079  5.75  1.18  gK0               
  2683 54118  5.17  -0.04 A0pSi             
  2684 54131  5.44  1.03  G8III             
  2685 54153  6.11  0.7   G0IIaCH1          
  2686 54173  6.08  1.34  K2                
  2687 54179  6.46  ""    K3III             
  2688 54224  6.62  -0.17 B2IV-V            
  2689 54239  5.45  0.05  B9.5V             
  2690 54309  5.71  -0.1  B2IVe             
  2691 54475  5.79  -0.17 B3V               
  2692 54563  6.43  0.89  G9V               
  2693 54605  1.84  0.68  F8Ia              
  2694 54662  6.21  0.03  O6.5V             
  2695 54669  6.65  -0.19 B2V               
  2696 54716  4.9   1.45  K4III-IIIa        
  2697 54719  4.41  1.26  K2-III            
  2698 54732  5.96  1.0   K0III             
  2699 54764  6.03  0.06  B1II              
  2700 54801  5.78  0.1   A4IV              
  2701 54810  4.92  1.03  K0III             
  2702 54893  4.83  -0.18 B2IV-V            
  2703 54895  5.47  1.67  M3-III            
  2704 54912  5.69  -0.16 B2.5IV            
  2705 54958  6.23  0.4   F0                
  2706 55052  5.85  0.36  F5III-IV          
  2707 55057  5.45  0.29  A8Vn-F3Vn         
  2708 55070  5.46  1.0   G8III             
  2709 55075  6.31  -0.04 A0III             
  2710 55111  6.09  -0.02 A1V               
  2711 55130  6.43  0.49  F8V               
  2712 55151  6.47  1.04  K0III             
  2713 55184  6.16  1.14  K0III             
  2714 55185  4.15  -0.01 A2V               
  2715 55280  5.2   1.07  K2III             
  2716 55344  5.84  -0.04 A0V               
  2717 55383  5.0   1.66  M4IIIab           
  2718 55522  5.92  -0.17 B2V               
  2719 55526  5.14  1.24  K2III             
  2720 55568  6.1   0.27  A8V               
  2721 55575  5.58  0.58  G0V               
  2722 55579  6.89  -0.03 A1pSrCr           
  2723 55589  5.78  1.51  K0                
  2724 55595  6.59  0.19  A5IV-V            
  2725 55621  5.82  1.56  M1III             
  2726 55718  5.96  -0.14 B3V               
  2727 55719  5.31  0.06  A3pSrEuCr         
  2728 55730  5.62  1.01  G6III             
  2729 55751  5.35  1.19  K2II              
  2730 55762  6.01  1.48  K2III             
  2731 55775  5.75  1.58  K5III             
  2732 55832  5.9   1.52  K3III             
  2733 55856  6.36  -0.21 B2IV+G5IV         
  2734 55857  6.12  -0.23 B0.5V             
  2735 55864  5.69  0.4   F2V               
  2736 55865  3.78  1.04  K0III             
  2737 55866  5.92  1.26  gK1               
  2738 55870  5.71  1.63  M1IIIa            
  2739 55879  6.03  -0.18 B0III             
  2740 55892  4.49  0.32  F0IV              
  2741 55958  6.6   -0.17 B2IV              
  2742 55966  4.96  1.66  M4IIIa            
  2743 55985  6.33  -0.2  B2IV-V            
  2744 56003  6.41  0.9   G5III             
  2745 56014  4.66  -0.19 B3IIIe            
  2746 56022  4.89  -0.02 A0pSi             
  2747 56031  5.82  1.6   M4-IIIab          
  2748 56096  5.1   1.56  M5IIIe            
  2749 56139  3.85  -0.17 B2IV-Ve           
  2750 56160  5.58  1.22  K4III             
  2751 56169  5.05  0.08  A4IIIn            
  2752 56207  5.95  1.18  K0                
  2753 56221  5.78  0.17  A5Vn              
  2754 56239  6.02  -0.02 A0IV-V            
  2755 56341  6.32  ""    A0                
  2756 56342  5.36  -0.17 B3V               
  2757 56386  6.24  -0.03 A0Vn              
  2758 56405  5.46  0.08  A2Vnp             
  2759 56410  5.94  -0.16 B4III-IV          
  2760 56446  6.65  -0.11 B8III             
  2761 56455  5.72  -0.11 A0pSi             
  2762 56456  4.76  -0.1  B8-9V             
  2763 56537  3.58  0.11  A3V               
  2764 56577  4.79  1.71  K3Ib-II           
  2765 56614  6.29  1.62  K2                
  2766 56618  4.64  1.6   M3III             
  2767 56705  5.97  1.1   K1III             
  2768 56731  6.32  0.2   A9II              
  2769 56733  5.8   -0.13 B4V               
  2770 56779  5.03  -0.17 B2IV-V            
  2771 56813  5.66  1.44  K4III             
  2772 56820  6.35  ""    A8m               
  2773 56855  2.7   1.62  K3Ib              
  2774 56876  6.46  -0.15 B2IV-V            
  2775 56941  6.35  1.46  K0                
  2776 56963  5.77  0.32  "A7 s"            
  2777 56986  3.53  0.34  F2IV              
  2778 56989  5.89  1.07  G9III             
  2779 57006  5.91  0.53  F8V               
  2780 57049  6.45  -0.02 A2Vn              
  2781 57060  4.98  -0.15 O7Ia:fp           
  2782 57061  4.4   -0.15 O9Ib              
  2783 57102  6.53  ""    B9V               
  2784 57103  5.45  ""    B8V               
  2785 57118  6.09  0.62  F0Iab-Ib          
  2786 57146  5.28  0.96  G2Ib              
  2787 57150  4.66  -0.1  B2V+B3IVne        
  2788 57167  5.7   0.35  F1V               
  2789 57197  5.85  -0.12 B8II-III          
  2790 57219  5.11  -0.16 B2IVne            
  2791 57240  5.25  0.01  A1V               
  2792 57263  6.4   1.22  K0                
  2793 57264  5.13  1.08  K0III             
  2794 57299  6.3   1.31  K2-3III           
  2795 57423  5.1   1.52  M0IIIab           
  2796 57478  5.45  0.98  gG5               
  2797 57508  6.41  ""    gG7               
  2798 57517  6.55  0.54  F5                
  2799 57573  6.61  -0.15 B2.5V             
  2800 57593  6.01  -0.17 B2.5V             
  2801 57608  5.99  -0.07 B8III             
  2802 57615  5.87  1.64  M4III             
  2803 57623  3.98  0.79  F6II              
  2804 57646  5.8   1.61  K5III             
  2805 57669  5.19  1.23  K1+IIIaCN1        
  2806 57682  6.43  -0.19 O9V               
  2807 57708  6.23  0.68  F5                
  2808 57727  5.03  0.9   G8III             
  2809 57742  6.47  -0.09 B9III             
  2810 57744  6.02  -0.01 A1V               
  2811 57749  5.82  0.35  F3IV              
  2812 57821  4.96  -0.04 B7IV              
  2813 57852  6.05  0.42  F0-2IV-V          
  2814 57853  6.6   0.59  G0V:e             
  2815 57917  5.39  -0.07 B9II-III          
  2816 57927  5.76  0.34  g:F0              
  2817 58050  6.41  -0.18 B2Ve              
  2818 58142  4.64  -0.02 A1V               
  2819 58155  5.43  -0.15 B5IIIn            
  2820 58187  5.3   0.1   A5IV              
  2821 58207  3.79  1.03  "G9IIIbHdel -1"   
  2822 58215  5.38  1.53  K2III             
  2823 58286  5.39  -0.18 B3III-IV          
  2824 58325  6.6   -0.2  B2IV-V            
  2825 58343  5.33  -0.05 B2.5IVe           
  2826 58346  6.19  -0.09 B8                
  2827 58350  2.45  -0.08 B5Ia              
  2828 58367  4.99  1.01  G6.5IIb           
  2829 58420  6.31  -0.15 B7III             
  2830 58425  5.64  1.11  gK2               
  2831 58439  6.24  0.29  A2Ib              
  2832 58461  5.78  0.42  F0V               
  2833 58526  5.97  0.92  G3Ib              
  2834 58535  5.35  1.07  G8II              
  2835 58551  6.54  0.46  F6V               
  2836 58552  6.37  0.09  A2IV              
  2837 58579  5.93  0.3   F2Vn              
  2838 58580  6.76  -0.01 A0IV              
  2839 58585  6.05  0.23  A8I-II:           
  2840 58599  6.41  -0.13 B6IV              
  2841 58612  5.78  -0.1  B7III             
  2842 58634  6.97  0.22  F0V:              
  2843 58635  6.84  0.27  F0V:              
  2844 58661  5.72  -0.1  B9pHgMn           
  2845 58715  2.9   -0.09 B8Ve              
  2846 58728  5.22  0.39  F5V+F5V           
  2847 58766  6.31  -0.17 B2V               
  2848 58805  6.47  0.42  F3V               
  2849 58855  5.36  0.45  F6V               
  2850 58907  6.56  0.01  A1                
  2851 58923  5.25  0.22  F0III             
  2852 58946  4.18  0.32  F0V               
  2853 58954  5.63  0.32  A5n               
  2854 58972  4.32  1.43  K3-IIIFe-0.5      
  2855 58978  5.61  -0.13 B0IV:pe           
  2856 59026  5.9   -0.17 B2IV-V            
  2857 59037  5.05  0.11  A4V               
  2858 59059  6.22  -0.05 B9IV              
  2859 59067  5.79  0.58  G8Ib-II+B2+B8V    
  2860 59136  5.95  -0.09 B5V:              
  2861 59148  5.01  1.11  K2III             
  2862 59219  5.1   1.06  K0III             
  2863 59256  5.54  -0.08 B9VpSi:           
  2864 59294  4.54  1.28  K1+IIIBa0.4       
  2865 59311  5.59  1.5   K5III             
  2866 59380  5.86  0.48  F8V               
  2867 59381  5.75  1.62  K5III             
  2868 59438  6.05  0.47  F7V               
  2869 59466  6.58  0.06  A1IV              
  2870 59499  6.38  -0.17 B3V               
  2871 59500  7.13  -0.15 B4V               
  2872 59507  6.54  0.07  A2V               
  2873 59550  5.77  -0.19 B2V               
  2874 59612  4.85  0.23  A5Ib              
  2875 59635  5.43  -0.16 B5Vp              
  2876 59669  6.24  1.18  K0                
  2877 59686  5.42  1.13  gK2               
  2878 59717  3.25  1.51  K5III             
  2879 59878  6.54  1.01  K0II-III+F8V      
  2880 59881  5.25  0.22  F0III             
  2881 59890  4.65  0.93  G3Ib              
  2882 59967  6.65  0.63  G4V               
  2883 59984  5.9   0.54  F5V               
  2884 60060  5.87  1.01  K0III             
  2885 60098  6.68  -0.12 B4V               
  2886 60107  5.25  0.05  A1Vn              
  2887 60111  5.59  0.31  F2V               
  2888 60150  6.39  1.56  K5III             
  2889 60168  6.61  -0.08 A0V               
  2890 60178  2.88  0.04  A2Vm              
  2891 60179  1.98  0.03  A1V               
  2892 60228  5.96  1.56  M1III             
  2893 60275  6.28  -0.01 A1V               
  2894 60294  5.92  1.12  K2III             
  2895 60312  6.3   -0.1  B9V               
  2896 60318  5.33  1.01  K0III             
  2897 60325  6.21  -0.04 B1V               
  2898 60335  6.3   ""    F0                
  2899 60341  5.66  1.12  K3III             
  2900 60345  5.85  0.17  A7V:              
  2901 60357  5.81  -0.02 A0Vnn             
  2902 60414  4.97  1.41  M2Iabpe+B2V       
  2903 60437  5.65  1.56  M0III             
  2904 60489  6.55  0.22  A7III             
  2905 60522  4.06  1.54  M0III-IIIb        
  2906 60532  4.45  0.51  F6IV              
  2907 60559  6.26  -0.12 B8IVpSi           
  2908 60574  6.52  0.92  G8III             
  2909 60584  5.83  0.44  dF4               
  2910 60585  5.87  ""    dF6               
  2911 60606  5.54  -0.06 B3Vne             
  2912 60629  6.65  -0.01 A0V               
  2913 60646  6.11  0.29  A9IV              
  2914 60652  5.92  0.22  A5m               
  2915 60654  6.38  ""    M1                
  2916 60666  5.77  1.06  K1III             
  2917 60686  6.76  1.13  K2III             
  2918 60803  5.91  0.6   G0V               
  2919 60816  5.53  1.28  K2-3III           
  2920 60853  6.27  1.54  K2                
  2921 60855  5.7   -0.12 B2Ve              
  2922 60863  4.64  -0.11 B8V               
  2923 60951  6.34  0.99  G5                
  2924 60986  5.56  0.93  K0III             
  2925 61031  6.28  0.08  A1III-IV          
  2926 61035  6.27  ""    F0                
  2927 61064  5.13  0.44  F6III             
  2928 61068  5.74  -0.19 B2III             
  2929 61106  6.06  1.46  K5III             
  2930 61110  4.9   0.4   F3III             
  2931 61219  6.17  0.01  A2V               
  2932 61224  6.53  -0.01 B9IIIe            
  2933 61227  6.37  0.54  F0II              
  2934 61248  4.94  1.4   K3III             
  2935 61294  5.73  1.63  M0III             
  2936 61295  6.17  0.35  F6II              
  2937 61330  4.53  -0.09 B8IV              
  2938 61338  5.05  1.56  K5IIIFe-0.5       
  2939 61363  5.56  1.01  K0III             
  2940 61391  5.72  -0.06 B9.5V             
  2941 61394  6.39  1.18  K1-2IIICNII       
  2942 61409  6.6   1.14  K1III             
  2943 61421  0.38  0.42  F5IV-V            
  2944 61429  4.7   -0.11 B8IV              
  2945 61453  6.38  1.48  K4III             
  2946 61497  4.99  0.08  A3IVn             
  2947 61554  6.72  -0.1  B6Vn              
  2948 61555  4.5   -0.17 B6V               
  2949 61556  4.62  ""    B5IVn             
  2950 61563  6.02  -0.04 A0III             
  2951 61603  5.89  1.58  K5                
  2952 61623  6.59  -0.05 A0                
  2953 61630  6.24  ""    K0                
  2954 61641  5.8   -0.16 B2IV-V            
  2955 61642  6.19  1.02  G8III             
  2956 61672  6.5   -0.1  B7V               
  2957 61715  5.68  0.65  F4Iab             
  2958 61749  6.01  0.15  A3IV              
  2959 61772  4.94  1.56  K3II              
  2960 61774  5.93  1.16  K0                
  2961 61831  4.84  -0.19 B2.5V             
  2962 61859  6.02  ""    F7V               
  2963 61878  5.73  -0.12 B5Vn              
  2964 61899  5.76  -0.07 B2.5V             
  2965 61885  5.77  1.67  M2IIIab           
  2966 61887  5.94  -0.04 A0V               
  2967 61913  5.56  1.64  M3II-III          
  2968 61925  6.0   -0.04 B6IVe             
  2969 61931  5.27  0.0   A0IIIn            
  2970 61935  3.93  1.02  K0III             
  2971 61966  6.06  -0.11 B9IV-Vp:Si:       
  2972 61987  6.76  -0.16 B3-5IV-V:         
  2973 62044  4.28  1.12  K1III             
  2974 62058  6.56  1.18  G20-Ia            
  2975 62066  5.92  1.18  gK2               
  2976 62082  6.18  1.62  M1III             
  2977 62140  6.49  0.26  F0pSrEu           
  2978 62141  6.21  0.93  K0III             
  2979 62153  7.16  -0.02 B9IV              
  2980 62154  7.26  ""    B9IV              
  2981 62226  5.42  -0.15 B5V               
  2982 62264  6.19  1.02  K0III             
  2983 62285  5.31  1.54  K4-5III           
  2984 62318  6.41  0.0   B7IV-V            
  2985 62345  3.57  0.93  G8IIIa            
  2986 62376  6.54  -0.09 B7V               
  2987 62407  6.43  ""    K0                
  2988 62412  5.64  0.99  K1III             
  2989 62437  6.47  0.2   F0III:            
  2990 62509  1.14  1.0   K0IIIb            
  2991 62510  6.33  0.0   A1V               
  2992 62555  6.55  0.06  A3                
  2993 62576  4.59  1.63  K3Ib              
  2994 62578  5.6   -0.13 B5V               
  2995 62595  6.89  1.02  G6/8III           
  2996 62623  3.96  0.18  A2Iabe            
  2997 62613  6.56  0.73  G8V               
  2998 62644  5.06  0.78  G6IV              
  2999 62647  5.18  1.58  M2IIIb            
  3000 62689  6.18  1.73  M0III             
  3001 62712  6.4   -0.16 B9VpSi            
  3002 62713  5.17  1.1   K1III             
  3003 62721  4.88  1.45  K4III-IIIb        
  3004 62747  5.62  -0.19 B1.5III           
  3005 62756  6.57  0.07  A2V               
  3006 62758  6.43  -0.1  B2.5V             
  3007 62781  5.8   0.31  F2V               
  3008 62832  5.3   0.01  A1Vnn             
  3009 62863  6.89  ""    A8V               
  3010 62864  6.07  0.11  A2V               
  3011 62893  5.88  -0.11 B7V               
  3012 62897  6.21  1.05  K0III             
  3013 62898  5.14  1.6   M1IIIa            
  3014 62902  5.49  1.38  K5III             
  3015 62952  5.04  0.33  F0V               
  3016 62991  6.54  -0.1  B3IV              
  3017 63032  3.61  1.73  K2.5Ib-II         
  3018 63077  5.37  0.6   G0V               
  3019 63112  6.39  -0.02 A0V               
  3020 63118  6.03  -0.07 B6IV              
  3021 63208  6.18  ""    G2III+A4V         
  3022 63215  5.88  -0.11 B7V               
  3023 63271  5.9   -0.19 B2IV-V            
  3024 63295  3.95  1.04  K0III             
  3025 63308  6.57  -0.13 B2V               
  3026 63302  6.34  1.78  K1Ia-Iab          
  3027 63323  6.43  1.7   M2II-III          
  3028 63332  6.02  0.46  F6V               
  3029 63336  5.48  0.48  dF5               
  3030 63352  6.04  1.38  K0                
  3031 63382  6.12  0.39  F0II              
  3032 63401  6.31  -0.17 B8III             
  3033 63435  6.53  0.78  G2III             
  3034 63462  4.5   -0.05 B0V:pe:           
  3035 63465  5.08  -0.1  B2.5III           
  3036 63513  6.38  0.95  G6-8III           
  3037 63578  5.23  -0.14 B1.5IV            
  3038 63584  6.18  -0.06 A0IV-V            
  3039 63586  6.38  ""    A0Vn              
  3040 63589  6.03  0.15  A2Vm              
  3041 63640  6.14  1.58  M2III             
  3042 63655  6.23  -0.09 B8III             
  3043 63660  5.33  0.76  G0III             
  3044 63697  5.18  1.28  K3III             
  3045 63700  3.34  1.24  G6Iab-Ib          
  3046 63744  4.71  1.06  K0III             
  3047 63752  5.61  1.44  K3III             
  3048 63754  6.56  0.58  G3V               
  3049 63786  5.93  -0.05 B9V               
  3050 63799  6.18  1.12  K1III             
  3051 63822  6.12  1.26  K0                
  3052 63852  5.6   1.61  K5III             
  3053 63889  5.99  1.13  gK1               
  3054 63894  6.16  1.13  K0                
  3055 63922  4.11  -0.18 B0III             
  3056 63926  6.33  1.01  K0III+A1V         
  3057 63948  6.32  0.96  K0III             
  3058 63949  5.84  -0.14 B1.5IV            
  3059 63975  5.14  -0.12 B8II              
  3060 64042  6.45  -0.01 A0                
  3061 64052  6.31  1.59  M4III             
  3062 64067  5.59  1.13  G5II              
  3063 64077  6.36  0.39  F2                
  3064 64096  5.17  0.6   G0V:              
  3065 64106  6.25  1.15  gK2               
  3066 64144  5.45  1.46  gK4               
  3067 64145  4.97  0.09  A3V               
  3068 64152  5.63  0.96  G8III             
  3069 64181  6.45  0.9   G6III             
  3070 64185  5.78  0.42  F1V               
  3071 64225  5.91  1.09  K2III             
  3072 64235  5.76  0.41  F5IV              
  3073 64238  5.69  0.37  F1Ia              
  3074 64287  6.32  -0.17 B2IV-V            
  3075 64307  5.41  1.42  K3III             
  3076 64320  6.72  1.24  K0II              
  3077 64347  6.72  ""    A2IV              
  3078 64365  6.04  -0.18 B2IV              
  3079 64379  5.01  0.44  F5V               
  3080 64440  3.73  1.04  K1-2II+A0         
  3081 64484  5.79  -0.04 B9V               
  3082 64486  5.42  -0.06 A0pSi             
  3083 64491  6.23  0.28  A3IVp:            
  3084 64503  4.49  -0.19 B2.5V             
  3085 64572  5.43  1.16  K0III             
  3086 64648  5.35  -0.04 "A0V s"           
  3087 64685  5.86  0.35  F2IV              
  3088 64722  5.7   -0.15 B1.5IV            
  3089 64740  4.63  -0.23 B1.5Vp            
  3090 64760  4.24  -0.14 B0.5Ib            
  3091 64802  5.49  -0.19 B2V               
  3092 64876  6.15  1.53  K4III             
  3093 64938  6.17  0.98  G8III             
  3094 64958  6.34  1.06  K0                
  3095 64960  5.78  1.28  K3+III            
  3096 64974  6.44  ""    K4III             
  3097 65066  6.05  1.0   K0III             
  3098 65123  6.35  0.5   F7V               
  3099 65183  6.33  1.66  M6III             
  3100 65189  6.38  -0.01 B8III             
  3101 65211  6.02  -0.11 B6V               
  3102 65228  4.2   0.72  F7II              
  3103 65241  6.41  -0.04 A0V               
  3104 65257  5.99  1.47  K0                
  3105 65273  5.63  1.3   K3-4III           
  3106 65301  5.77  0.39  d:F2              
  3107 65315  6.78  -0.18 B2V               
  3108 65299  6.49  0.03  A3IV              
  3109 65339  6.01  0.14  A2pSrCrEu         
  3110 65345  5.29  0.92  K0III             
  3111 65442  6.09  1.36  K3III             
  3112 65448  6.4   0.59  G1III             
  3113 65456  4.79  0.15  A2V               
  3114 65460  5.35  -0.18 B2.5V             
  3115 65522  6.02  1.32  K2                
  3116 65551  5.09  -0.17 B2.5IV            
  3117 65575  3.47  -0.18 B3IVp             
  3118 65598  6.22  -0.1  B5V               
  3119 65626  6.49  0.62  F8V               
  3120 65662  5.74  1.55  K3III             
  3121 65685  5.17  1.27  K2III             
  3122 65695  4.93  1.21  K2III             
  3123 65699  5.11  1.12  cK2               
  3124 65714  5.83  1.02  gG8               
  3125 65735  6.25  1.11  K1III             
  3126 65750  6.25  2.08  M0III             
  3127 65757  6.34  ""    K1III-IV          
  3128 65759  5.55  1.32  gK3               
  3129 65818  4.41  -0.17 B1Vp+B3IV:        
  3130 65801  6.34  1.56  K0                
  3131 65810  4.61  0.08  A2Vn              
  3132 65856  6.31  0.01  A1V               
  3133 65867  6.44  0.25  A8-9IV            
  3134 65873  5.99  -0.02 B9.5Vn            
  3135 65875  6.51  -0.07 B2.5Ve            
  3136 65900  5.65  0.0   A1V               
  3137 65904  5.99  -0.14 B4V               
  3138 65907  5.6   0.57  G0V               
  3139 65908  6.14  -0.1  B8V               
  3140 65925  5.24  0.39  F5III             
  3141 65953  4.68  1.49  K4III             
  3142 66005  6.32  ""    B2IV-V            
  3143 66006  6.34  ""    B2IV-V            
  3144 66011  6.22  0.57  G0IV              
  3145 66141  4.39  1.25  K2III             
  3146 66190  6.61  1.27  K1Ib-II           
  3147 66194  5.81  -0.09 B2IVpne           
  3148 66210  6.02  0.04  A2V               
  3149 66216  4.94  1.12  K1.5III           
  3150 66242  6.33  0.62  G0III             
  3151 66255  6.12  -0.11 A0pSi             
  3152 66341  6.33  -0.06 B5III             
  3153 66342  5.17  1.74  M1.5IIa           
  3154 66358  5.95  0.14  A3IV              
  3155 66435  6.34  1.62  M1III             
  3156 66441  5.87  -0.14 B5Vn              
  3157 66546  6.1   -0.04 B2IV-V            
  3158 66552  6.15  -0.05 B9V               
  3159 66591  4.82  -0.17 B3V               
  3160 66598  5.82  1.22  K2-3III           
  3161 66607  6.28  -0.15 B4V               
  3162 66624  5.52  -0.15 B9pSi             
  3163 66664  5.12  0.01  A1V               
  3164 66684  6.21  0.01  A0V               
  3165 66811  2.25  -0.26 O5f               
  3166 66812  6.29  1.01  G8II              
  3167 66824  6.26  -0.02 A1V               
  3168 66834  6.13  -0.16 B3III             
  3169 66875  5.99  1.66  M3III             
  3170 66888  5.31  1.91  M1Ib              
  3171 66920  6.34  0.14  A3III             
  3172 66950  6.41  1.05  K0                
  3173 67006  4.84  0.05  A2V               
  3174 67159  6.23  -0.07 B9V               
  3175 67224  5.93  1.39  gK4               
  3176 67228  5.3   0.63  G1IVb             
  3177 67243  6.14  1.11  G1Ib              
  3178 67249  5.95  1.21  G5II              
  3179 67341  6.19  -0.15 B3Vnp             
  3180 67364  5.53  1.34  K3-4III           
  3181 67370  6.27  1.27  gK3               
  3182 67447  5.32  1.04  G7+II             
  3183 67456  5.38  0.1   A5II              
  3184 67483  6.27  0.43  F3V               
  3185 67523  2.81  0.43  "F6IIpDel Del"    
  3186 67536  6.3   -0.1  B2.5Vn            
  3187 67582  5.05  1.5   K3III             
  3188 67594  4.34  0.97  G2Ib              
  3189 67725  6.32  0.01  A0Vn              
  3190 67751  6.36  0.16  A7IV              
  3191 67767  5.73  0.81  G7V               
  3192 67797  4.4   -0.15 B5IV              
  3193 67827  6.58  0.59  G0                
  3194 67880  5.68  -0.17 B2.5V             
  3195 67888  6.37  -0.04 B4V               
  3196 67921  6.65  1.4   K5III             
  3197 67934  6.32  0.01  A2Vn              
  3198 67959  6.23  0.02  A1V               
  3199 67977  6.2   0.89  G8III             
  3200 68077  5.85  1.01  G9III             
  3201 68099  6.07  -0.1  B6III             
  3202 68146  5.54  0.49  F6V               
  3203 68161  5.7   -0.12 B8Ib-II           
  3204 68217  5.21  -0.19 B2IV-V            
  3205 68242  6.26  -0.04 B7V               
  3206 68243  4.27  -0.23 B1IV              
  3207 68273  1.78  -0.22 WC8+O9I           
  3208 68257  5.63  0.54  F8V               
  3209 68256  6.02  0.54  F9V               
  3210 68255  6.2   0.6   G5V               
  3211 68290  4.72  0.95  G9III-IIIb        
  3212 68312  5.36  0.89  G6III             
  3213 68324  5.23  -0.21 B1IVe             
  3214 68332  6.54  ""    A7III             
  3215 68351  5.64  -0.07 B9pSiCr           
  3216 68375  5.54  0.9   G8III             
  3217 68423  6.28  -0.06 B6Ve              
  3218 68434  5.66  0.21  A3m               
  3219 68450  6.44  -0.01 O9.5II            
  3220 68456  4.76  0.43  F5V               
  3221 68457  6.45  0.2   A7Vm              
  3222 68461  6.01  0.89  G8III             
  3223 68520  4.35  -0.11 B6IV              
  3224 68543  6.56  0.11  A4IVn             
  3225 68553  4.45  1.62  K3Ib              
  3226 68601  4.75  0.18  A5Ib              
  3227 68657  5.82  -0.15 B3V               
  3228 68703  6.47  0.3   "A0VnDel Del"     
  3229 68752  4.99  1.07  G5II              
  3230 68758  6.52  0.06  A1V               
  3231 68776  6.38  ""    G8III             
  3232 68808  5.76  0.59  F7Ib-II           
  3233 68862  6.43  0.1   A3V               
  3234 68895  6.03  -0.11 B5V               
  3235 68930  5.64  0.16  A7IV              
  3236 68951  5.98  1.54  M0III             
  3237 68980  4.78  -0.11 B1.5IIIe          
  3238 69002  6.37  1.14  K2III             
  3239 69080  6.06  -0.16 B1.5V             
  3240 69081  5.08  -0.19 B1.5IV            
  3241 69082  6.11  -0.18 B2IV-V            
  3242 69123  5.78  1.02  K1III             
  3243 69142  4.44  1.17  K1II-III          
  3244 69144  5.13  -0.14 B2.5IV            
  3245 69148  5.71  0.89  G8III             
  3246 69149  6.27  1.54  K5                
  3247 69194  5.51  1.61  M1III             
  3248 69243  7.13  1.56  M7IIIe            
  3249 69267  3.52  1.48  K4IIIBa0.5        
  3250 69302  5.83  -0.2  B2IV-V            
  3251 69445  6.21  0.78  G5-8III+G:        
  3252 69478  6.29  0.98  G8III             
  3253 69511  6.16  1.55  K2III             
  3254 69548  5.89  0.39  F4V               
  3255 69589  6.6   0.02  A0                
  3256 69596  6.44  1.49  K3-4III           
  3257 69665  6.16  0.01  A2V               
  3258 69682  6.49  0.28  F0IV              
  3259 69830  5.98  0.76  G7.5V             
  3260 69863  5.16  0.09  A2V               
  3261 69879  6.45  1.04  K0III             
  3262 69897  5.14  0.47  F6V               
  3263 69976  6.41  0.97  K0III             
  3264 69994  5.83  1.13  K1III             
  3265 69997  6.32  0.33  "F3IIIpDel Del"   
  3266 70002  5.58  1.24  K2III             
  3267 70003  6.7   0.23  A0IV+G:           
  3268 70011  5.98  -0.03 B9.5V             
  3269 70013  6.05  0.97  G8III             
  3270 70060  4.45  0.22  A7III             
  3271 70110  6.18  0.6   F9V               
  3272 70148  6.13  1.33  K2III             
  3273 70235  6.43  -0.08 B9pHgMn           
  3274 70267  6.42  0.39  F5V               
  3275 70272  4.25  1.55  K4.5III-IIIb      
  3276 70302  6.13  1.04  K0                
  3277 70313  5.51  0.11  A3V               
  3278 70340  6.5   0.02  A2Vpn:EuSrCr:Si   
  3279 70442  5.58  0.77  G2III+A3          
  3280 70514  5.07  1.15  K1III             
  3281 70523  5.75  1.05  K1III             
  3282 70555  4.83  1.45  K2.5II-III        
  3283 70556  5.2   -0.19 B2IV-V            
  3284 70569  5.95  0.17  A9V               
  3285 70574  6.15  0.22  A8IV              
  3286 70612  6.16  0.17  A3V               
  3287 70647  6.02  1.59  K5III             
  3288 70652  5.96  1.67  M1III             
  3289 70673  6.11  1.0   gG7               
  3290 70734  6.08  1.49  M2III             
  3291 70761  5.9   0.37  F3Ib              
  3292 70771  6.06  1.27  K0                
  3293 70839  5.97  -0.09 B1.5III           
  3294 70930  4.82  -0.15 B1V               
  3295 70937  6.01  0.46  F2V               
  3296 70946  6.32  1.63  M1III             
  3297 70958  5.61  0.46  F3V               
  3298 70982  6.12  0.93  G6-8III           
  3299 71030  6.14  0.41  F6V               
  3300 71043  5.85  0.01  A0V               
  3301 71046  5.37  -0.06 B9III-IV          
  3302 71066  5.65  -0.1  A0IVMn            
  3303 71088  5.88  0.97  G8III             
  3304 71093  5.57  1.4   K5III             
  3305 71095  5.73  1.53  K5III             
  3306 71115  5.13  0.94  G7II-IIIFe-1      
  3307 71129  1.86  1.28  K3III+B2:V        
  3308 71141  5.68  0.06  A2                
  3309 71148  6.32  0.62  G5V               
  3310 71150  6.32  0.18  A6V               
  3311 71151  6.3   0.18  A3V               
