# APOGEE_ID          RA         DEC        GLON               GLAT               J      H      K      VHELIO_AVG  GAIAEDR3_PMRA GAIAEDR3_PMDEC TEFF      LOGG        M_H        ALPHA_M      
  2M13222746-4755238 200.614428 -47.923298 308.29414671779875 14.625232757631743 11.546 10.894 10.711 92.2991     1.7778566     2.8712516      4567.876  2.4540882   -0.31333   0.246845     
  2M13222835-4744420 200.618164 -47.745003 308.31961318027135 14.801835748690424 9.313  9.205  9.17   -15.656297  -18.217175    1.7969251      10376.965 3.992083    nan         nan           
  2M13222835-4744420 200.618164 -47.745003 308.31961318027135 14.801835748690424 9.313  9.205  9.17   -14.685487  -18.217175    1.7969251      9834.628  3.9585786   nan         nan           
  2M13222969-4741092 200.623729 -47.68589  308.33105937564096 14.860024459163965 12.335 11.746 11.63  31.363115   -7.364484     0.3820466      4761.1826 2.3647928   -0.21588   0.198055     
  2M13223104-4743124 200.629345 -47.720123 308.3305322436324  14.825587272842753 9.784  9.108  8.952  -29.60765   -11.005986    -0.3983326     4372.596  2.0338736   0.14051    0.008685     
  2M13223104-4743124 200.629345 -47.720123 308.3305322436324  14.825587272842753 9.784  9.108  8.952  -29.888075  -11.005986    -0.3983326     4372.4824 2.0635405   0.15454    0.010981001  
  2M13223195-4803388 200.63315  -48.060802 308.2893438011715  14.487237545394649 11.453 10.828 10.683 16.157343   -4.6554832    -1.6758286     4563.7236 2.8202214   -0.25584   0.280555     
  2M13223500-4755067 200.645864 -47.918549 308.3163606325513  14.627324926235945 12.355 11.799 11.692 -55.17897   -8.683561     -0.87984854    nan        nan          nan         nan           
  2M13223674-4805349 200.653115 -48.093048 308.2988673728571  14.453581903475737 10.188 9.307  9.039  -2.5474343  -6.8002887    -1.1210145     3735.5798 0.8357702   -0.60967   0.31901503   
  2M13223750-4738088 200.656272 -47.635803 308.3600225619422  14.906988158780496 12.922 12.462 12.348 69.72312    -41.043324    -22.51088      5048.6626 4.506234    0.14308    0.073354304  
  2M13223838-4727098 200.659954 -47.452747 308.3862685631058  15.088296938085165 12.548 12.048 11.939 -27.388187  -14.42663     -3.8253355     5001.712  3.3628983   -0.15023   0.080726     
  2M13223934-4822235 200.66392  -48.373203 308.27020018663796 14.174714795451896 10.154 10.058 10.02  nan          -13.398858    -0.9844222     nan        nan          nan         nan           
  2M13224111-4732599 200.671296 -47.549995 308.38153637949625 14.99085476991867  11.055 10.586 10.394 -40.008316  -19.583391    -2.2947412     4770.3105 3.1293507   0.37189    0.013327001  
  2M13224203-4729362 200.675159 -47.493408 308.3915557487871  15.04666910170483  11.294 10.587 10.462 -19.959291  -7.606913     -1.5025644     4405.829  1.9020383   -0.44006   0.261405     
  2M13224736-4732504 200.697337 -47.547356 308.3999313351369  14.991268176089967 12.347 11.666 11.569 -43.39094   -5.991842     0.20827492     4461.8335 2.0422654   -0.4595    0.26559502   
  2M13224738-4754585 200.697455 -47.916267 308.35210944621406 14.625266167662245 12.239 11.622 11.397 13.994695   -3.0018942    -10.34793      4683.0723 2.8134844   -0.12723   0.200225     
  2M13224777-4735577 200.699066 -47.599373 308.39436422117853 14.939516882605375 12.711 12.138 11.972 13.116035   -3.7642596    2.1427566E-4   4670.2285 2.6191916   0.13503    0.053976     
  2M13225434-4821186 200.72644  -48.355183 308.3150328152287  14.18739474391909  12.561 12.104 12.048 42.13667    1.7897583     -7.574853      4795.9746 4.3902125   -0.33326   0.0467953    
  2M13225557-4732377 200.731559 -47.543812 308.42411684605145 14.991875311834274 11.404 10.898 10.797 48.02201    -3.505101     -1.4923589     5016.814  2.345212    -0.62953   0.229725     
  2M13230081-4828117 200.753395 -48.469944 308.3184453012955  14.071294715731899 10.736 10.042 9.91   277.19244   -12.272202    -4.955951      4693.462  1.4476953   -1.3061    0.237015     
  2M13230175-4751246 200.7573   -47.856853 308.40099345919464 14.679153536934924 12.465 12.008 11.944 -7.2711005  -9.386484     -6.3928466     5419.413  3.760122    0.057261   0.047611     
  2M13230269-4720264 200.761235 -47.340691 308.4713469630058  15.190826074899935 11.468 10.848 10.715 -7.5888977  -5.642209     -4.7923555     4501.6353 2.360818    -0.18401   0.216955     
  2M13230269-4720264 200.761235 -47.340691 308.4713469630058  15.190826074899935 11.468 10.848 10.715 -7.584675   -5.642209     -4.7923555     4514.0996 2.4422412   -0.16967   0.208225     
  2M13230848-4738197 200.785355 -47.638817 308.44891789516464 14.893042004544307 10.323 9.657  9.469  -42.588913  -3.2422688    1.9653149      4471.588  1.8044565   -0.38411   0.084171996  
  2M13230848-4738197 200.785355 -47.638817 308.44891789516464 14.893042004544307 10.323 9.657  9.469  -40.937992  -3.2422688    1.9653149      4454.056  1.7813799   -0.39336   0.077273     
  2M13230897-4721592 200.787402 -47.366459 308.48617603963237 15.163015661863321 13.156 12.501 12.336 41.681946   3.45903       3.005881       4253.9604 4.5645223   -0.0043719 -0.0585037   
  2M13231133-4734031 200.797211 -47.567528 308.4665015029884  14.962736679774805 10.412 9.796  9.607  13.498812   -17.990414    -3.7838156     4488.1353 2.478786    0.099813   0.107825     
  2M13231133-4734031 200.797211 -47.567528 308.4665015029884  14.962736679774805 10.412 9.796  9.607  13.602926   -17.990414    -3.7838156     4493.117  2.463797    0.10006    0.093512     
  2M13231155-4758125 200.798155 -47.970139 308.41423038648225 14.563311106229431 11.117 10.555 10.425 -21.937912  -7.8779984    -1.2780595     4750.992  2.4768872   -0.059106  0.048636     
  2M13231206-4719304 200.800258 -47.325127 308.50058016839523 15.20290252310767  11.089 10.5   10.367 -12.210128  -37.351456    -1.3910964     4518.1904 4.533242    -0.0061655 -0.038056698 
  2M13231219-4817428 200.800794 -48.295246 308.3734302416725  14.240610403599979 10.817 10.307 10.219 121.07822   -4.158452     -3.6608434     5007.541  3.9766588   -0.15614   0.115888     
  2M13231265-4759020 200.802727 -47.983906 308.41556006318643 14.549266858560257 11.836 11.446 11.366 42.881184   -5.1224003    -2.3801715     5219.945  4.461222    -0.058165  0.0111494    
  2M13231326-4758208 200.805257 -47.97245  308.41879981887246 14.560414719724665 11.188 10.603 10.466 -10.793497  -8.283193     -3.286689      4718.0273 2.436942    -0.18777   0.151265     
  2M13231392-4707519 200.808029 -47.131092 308.53166083937464 15.394679952014629 10.676 10.019 9.795  -3.258674   -59.592136    -27.375523     3798.8877 4.6391993   7.8845E-4  -0.044541698 
  2M13231632-4750443 200.818014 -47.845661 308.444238983558   14.685084793688196 11.578 11.136 11.122 -3.4847102  -9.564096     -0.2879648     5391.425  3.988521    -0.36106   0.087239996  
  2M13231644-4816541 200.818525 -48.281715 308.3872768494913  14.25253348186473  13.059 12.438 12.391 -72.18691   -2.0543787    -5.792535      4798.4053 2.291704    -0.87236   0.299035     
  2M13231855-4739181 200.827314 -47.655052 308.47579004935665 14.873340238130684 10.725 10.137 10.0   -17.123497  -9.566913     -1.22281       4692.593  2.7186632   -0.13962   0.095683     
  2M13231855-4739181 200.827314 -47.655052 308.47579004935665 14.873340238130684 10.725 10.137 10.0   -17.133718  -9.566913     -1.22281       4701.636  2.657573    -0.13937   0.100546     
  2M13232215-4805084 200.842321 -48.085674 308.4292976376498  14.444955949550748 11.48  10.97  10.828 -61.825405  -0.75261927   -1.640272      4818.596  2.3651788   -0.43656   0.239005     
  2M13232226-4830008 200.842758 -48.500248 308.3750532342858  14.033729904831304 11.417 10.836 10.699 -34.34478   -8.218713     2.7268295      4679.5107 2.5782506   -0.43982   0.245095     
  2M13232266-4814065 200.844426 -48.235153 308.4110446478203  14.296519964596424 12.362 11.711 11.569 10.996425   9.535732      5.05822        4349.979  4.545416    -0.30507   -0.0579447   
  2M13232297-4700439 200.845745 -47.012222 308.57387696930107 15.509284526575883 12.967 12.676 12.629 -21.909374  -16.66457     -1.104737      6134.387  4.3256216   0.20946    -0.046004698 
  2M13232466-4746338 200.852778 -47.776066 308.47736764440697 14.751129161883863 12.667 12.16  12.03  -18.480495  -9.7377       -6.9713902     4991.4663 2.914994    -0.37992   0.252695     
  2M13232562-4810318 200.856771 -48.17551  308.42732721453297 14.354624006639302 11.314 10.754 10.639 -37.86526   -16.39752     5.93597        4828.469  2.4162848   -0.49122   0.289055     
  2M13232814-4751124 200.867269 -47.853451 308.4770992404939  14.673135244672567 11.537 10.747 10.57  61.639397   -5.9762697    -0.64544123    4145.2437 1.9775326   -0.4901    0.25481498   
  2M13232835-4733472 200.868165 -47.563137 308.5162321786015  14.960973996959858 12.038 11.265 11.091 76.135315   -7.457553     -2.6163688     4114.1465 1.5059733   -0.44584   0.277875     
  2M13232893-4808588 200.870569 -48.149693 308.44015908377605 14.379051477608229 11.112 10.495 10.322 9.394951    -9.795903     -2.2267776     4474.828  2.510949    0.25913    0.0069980007 
  2M13232953-4724400 200.873048 -47.411129 308.5398350344392  15.111299190406939 9.641  9.324  9.219  62.17129    44.486443     -3.785018      5634.2134 3.900836    -0.20244   0.0586323    
  2M13233223-4736485 200.884313 -47.61348  308.52071751731273 14.909649104150892 8.72   8.032  7.746  -25.926395  -15.155028    -2.4798198     4129.6577 1.717334    0.060736   0.114632     
  2M13233314-4800276 200.888099 -48.007683 308.47095733266184 14.518387338095398 11.648 10.932 10.753 40.25859    -8.508233     -2.4415846     4238.683  1.8307147   -0.21098   0.227935     
  2M13233406-4733567 200.891931 -47.565762 308.53234409030335 14.956309564416193 12.928 12.351 12.248 -18.310097  -0.69296104   -2.5073318     4757.1997 3.0226805   0.046756   0.104473     
  2M13233428-4734432 200.892841 -47.578674 308.5312539294787  14.94342597392168  12.657 12.101 11.988 239.50195   -2.7854881    -6.732949      4964.1074 2.2476768   -1.6924    0.251695     
  2M13233587-4718467 200.899478 -47.312977 308.57132171983113 15.206329076003673 9.032  8.403  8.312  3.9620018   -31.183443    -20.104782     4255.2373 4.3853703   -0.2588    -0.0819187   
  2M13233822-4718105 200.909264 -47.302929 308.5794845842879  15.21543654610028  12.745 12.118 12.02  -70.12651   -9.266679     1.2308385      4578.346  2.431383    -0.27969   0.190255     
  2M13233866-4720009 200.911099 -47.333588 308.5766594065645  15.184873716152152 11.176 10.569 10.438 10.048488   -3.1048908    -2.7112677     4634.5186 2.4578056   -0.070225  0.021477502  
  2M13233935-4825161 200.91397  -48.421158 308.4337723054931  14.106125137020706 10.726 10.353 10.293 -11.116863  -17.10174     -20.470272     5450.0894 4.50572     -0.0091772 -0.0185567   
  2M13234067-4817279 200.919459 -48.291088 308.45476247948295 14.234644728518706 12.005 11.468 11.421 -14.473574  2.8692846     -0.30909178    5029.467  3.3975604   0.084353   0.013061001  
  2M13234501-4747577 200.93756  -47.799381 308.53267748732605 14.720680068590692 11.271 10.408 10.193 43.88424    -7.2336555    -1.5959461     3957.3345 1.091749    -0.52874   0.295505     
  2M13234546-4722192 200.939442 -47.372013 308.5912360854402  15.144287404727883 11.5   11.011 10.935 -0.639842   -26.059378    -8.48918       4947.129  4.572775    -0.055586  0.0287113    
  2M13234831-4718502 200.951299 -47.313953 308.6072929158586  15.200814796845027 8.864  8.304  8.203  21.250046   -0.5926614    -1.1375196     4628.4272 2.4838057   0.15645    0.0216041    
  2M13234905-4752310 200.954384 -47.875301 308.5340963389482  14.643937134512763 10.427 9.759  9.607  211.15202   0.3989206     0.921678       4478.283  1.3489501   -1.3352    0.316185     
  2M13235005-4721107 200.95857  -47.352982 308.6071040060284  15.16147640822369  11.352 11.058 10.971 -12.321976  -23.351185    9.915284       5603.4165 3.9900115   0.079187   0.0057538003 
  2M13235141-4817053 200.964239 -48.284813 308.48608096393514 14.237020766845934 9.578  8.967  8.797  -4.1388206  -10.807755    -1.3314182     4602.3228 2.4603095   0.020868   0.0343443    
  2M13235275-4705453 200.9698   -47.095943 308.6496043164386  15.415339287333572 9.01   8.104  7.838  30.416435   -7.4712334    -1.436237      3773.7373 0.9094688   -0.51078   0.306835     
  2M13235275-4705453 200.9698   -47.095943 308.6496043164386  15.415339287333572 9.01   8.104  7.838  29.78122    -7.4712334    -1.436237      3800.5867 0.9185845   -0.52254   0.303805     
  2M13235349-4758230 200.972896 -47.973061 308.53371002722093 14.545394038538578 11.328 10.79  10.663 0.9048889   -1.7385119    -4.201264      4841.263  2.8370569   -0.36316   0.138825     
  2M13235357-4756515 200.973242 -47.947659 308.53735328151333 14.570551126224819 11.823 11.215 11.11  -21.830595  -4.430571     -1.6946111     4706.758  2.53748     -0.17047   0.072707     
  2M13235787-4807286 200.991154 -48.124615 308.52588214964624 14.393538577389757 12.233 11.606 11.477 -8.806306   -3.7019255    -2.2042644     4687.571  2.6326919   -0.088185  0.074917     
  2M13235991-4655188 200.999662 -46.921909 308.6941295658503  15.585225946582415 9.918  9.22   9.014  -15.177602  -10.283869    -4.432606      4202.0913 1.6412802   -0.4603    0.279015     
  2M13235992-4725487 200.999694 -47.430195 308.62528276009357 15.081295776698065 9.974  9.383  9.249  18.411476   -6.0708117    -4.738808      4626.308  2.5326889   0.0036395  0.050724998  
  2M13240225-4733027 201.009413 -47.550755 308.6157277650718  14.96091038840189  10.697 10.116 9.944  20.475359   -7.56161      -0.6467049     4582.09   2.3536499   0.06306    0.100425     
  2M13240242-4754399 201.010097 -47.911098 308.5675680373871  14.603588944683704 11.786 11.162 11.005 -36.162327  -4.7179656    -3.943376      4528.15   2.4580724   -0.13852   0.164205     
  2M13240262-4704200 201.010919 -47.072243 308.68161111911684 15.43518029529705  13.145 12.529 12.403 -65.81505   -5.476169     -3.8303807     4634.105  2.309102    -0.52532   0.289935     
  2M13240511-4755575 201.021319 -47.932644 308.57236775078144 14.581245947367332 8.592  7.778  7.565  6.070452    -4.7342052    -1.1446067     4016.5703 1.2478766   -0.26618   0.240235     
  2M13240511-4755575 201.021319 -47.932644 308.57236775078144 14.581245947367332 8.592  7.778  7.565  5.908501    -4.7342052    -1.1446067     4006.163  1.1904597   -0.25916   0.216645     
  2M13240738-4724118 201.03075  -47.403301 308.65050356285406 15.105210803382018 12.753 12.251 12.164 237.5623    -3.2601757    -6.611177      4925.078  2.2475379   -1.8131    0.373415     
  2M13241192-4801285 201.049695 -48.024609 308.5794001253729  14.487586914285787 11.348 10.791 10.66  22.779417   -4.347481     -3.918121      4751.786  2.3968494   -0.29447   0.247035     
  2M13241319-4705104 201.054994 -47.086231 308.7105732396184  15.417373692268258 11.153 10.596 10.43  3.8364718   -9.990616     -3.0093043     4718.251  2.4041734   -0.28858   0.25450498   
  2M13241542-4815493 201.06425  -48.263706 308.5570071009561  14.249278306541454 12.202 11.9   11.795 -27.215164  -22.063042    2.2116857      5680.928  4.475168    -0.20021   0.0160213    
  2M13241618-4713113 201.067436 -47.21983  308.70103044074864 15.283823867063425 13.304 12.769 12.688 240.69772   -3.7446356    -6.908203      4999.3247 2.6824102   -1.4381    0.383655     
  2M13241701-4807257 201.070884 -48.123814 308.5804646342399  14.387382182552058 10.701 9.991  9.832  15.148942   -11.060823    -3.3839703     4279.9893 1.5249863   -0.44366   0.20904501   
  2M13241703-4713153 201.070999 -47.220924 308.7033677941366  15.282420589516226 12.687 12.11  12.007 242.60045   -2.9167173    -6.658946      4897.2935 2.2031317   -1.2909    0.130945     
  2M13241760-4722030 201.073365 -47.367512 308.6850026448011  15.13689911198122  13.079 12.587 12.539 231.70087   -3.1021292    -7.1049976     4995.9087 2.4718049   -1.8685    0.29650497   
  2M13241858-4810530 201.077436 -48.181396 308.57713558436194 14.329724704771236 11.574 10.995 10.911 0.5171195   -11.950152    -1.5125072     4751.0024 2.4152687   -0.22089   0.233665     
  2M13241871-4745067 201.077999 -47.751877 308.6358414124224  14.755467832438336 11.34  10.809 10.672 239.14601   -3.5386615    -6.7527537     4847.0938 1.4939082   -1.9747    0.33877498   
  2M13242041-4719352 201.085069 -47.326462 308.6987533476447  15.17654541313395  11.843 11.221 11.077 228.04494   -3.0037463    -6.5958543     4811.3447 1.9915402   -1.2783    0.235965     
  2M13242124-4828089 201.088524 -48.469158 308.54570147786853 14.043486391951182 10.942 10.381 10.22  -21.480356  -10.501013    -5.111931      4697.9917 2.4545012   0.025687   0.0293472    
  2M13242154-4738394 201.089752 -47.644299 308.6586053068705  14.861067193199517 11.011 10.377 10.269 227.30441   -3.5002105    -6.9139543     4618.6797 1.3664489   -1.6882    0.33371502   
  2M13242202-4732223 201.091771 -47.539536 308.67429756839886 14.96473577754921  13.551 13.005 12.913 221.7232    -2.8557358    -6.8648815     4984.405  2.6143417   -1.5126    0.363885     
  2M13242207-4737039 201.091974 -47.617764 308.6637606914605  14.887173132541825 13.182 12.601 12.496 244.94662   -2.8843577    -6.3250513     4912.192  2.4176729   -1.4272    0.34724498   
  2M13242381-4722251 201.099234 -47.373657 308.70215342519225 15.12849653444839  12.671 12.173 12.099 225.98337   -3.2444947    -6.856814      4923.409  2.314137    -1.8684    0.32529497   
  2M13242425-4658374 201.101044 -46.977081 308.75780529770145 15.52142512173851  13.45  12.922 12.776 26.463846   -9.92866      -1.9374281     4880.229  3.381927    -0.10647   0.189345     
  2M13242483-4757300 201.103493 -47.958351 308.6252622311138  14.548539613451313 10.856 10.317 10.008 6.535756    -38.12786     -22.321033     nan        nan          nan         nan           
  2M13242500-4728170 201.104203 -47.471409 308.6922274625622  15.031157554415236 11.132 10.469 10.287 nan          134.80576     -34.57806      nan        nan          nan         nan           
  2M13242511-4833337 201.104651 -48.559387 308.5443961326179  13.952636095976661 12.957 12.584 12.495 34.754654   -3.8891609    -7.1012497     5574.466  4.437913    0.013166   0.0208803    
  2M13242573-4725164 201.107238 -47.421227 308.70120341554866 15.080627832972436 12.371 11.8   11.703 236.59117   -3.5013447    -6.8115697     4929.3804 2.131905    -1.9185    0.337425     
  2M13242622-4729383 201.109266 -47.49398  308.69265009680885 15.008332353935241 13.63  13.146 13.146 224.62354   -3.562255     -6.1638675     4964.647  2.4672866   -1.6094    0.320145     
  2M13242637-4656028 201.109889 -46.934113 308.7699253320989  15.563214410936556 12.778 12.366 12.299 31.456972   -29.989058    -1.9718789     5219.196  4.518137    -0.0043647 0.1042653    
  2M13242715-4658574 201.113152 -46.982632 308.76553964751037 15.514828527616269 11.228 10.663 10.551 -16.16892   -6.4662323    -4.2524133     4925.25   3.0195491   -0.040981  0.018117601  
  2M13242791-4726370 201.116298 -47.443623 308.70442632300126 15.057617929000864 13.822 13.304 13.263 223.3402    -3.4341419    -6.601629      5053.634  2.6915994   -1.8064    0.230275     
  2M13242939-4739376 201.122489 -47.660465 308.67901137263453 14.842130421940736 10.534 9.965  9.84   27.78111    -12.764247    -9.426963      4665.1455 2.6069717   -0.22645   0.166475     
  2M13242976-4751461 201.124017 -47.862812 308.6523883409452  14.64142572703263  11.074 10.786 10.737 18.859583   -5.418737     -4.4905605     6146.453  3.9873207   0.20647    -0.0290577   
  2M13243032-4715034 201.126355 -47.250961 308.73786978427165 15.247678298818533 10.495 9.754  9.593  nan          -5.7503304    -1.00197       nan        nan          nan         nan           
  2M13243074-4724264 201.128093 -47.40736  308.717592371204   15.092504334939735 8.924  8.064  7.929  228.50656   -3.0698555    -6.2242823     4140.9097 0.6123883   -1.7343    0.251625     
  2M13243103-4730094 201.129309 -47.502628 308.70536077755605 14.997968017848587 13.073 12.578 12.455 242.49461   -3.1657252    -7.1451654     5032.706  2.5259633   -1.8882    0.40552503   
  2M13243109-4752576 201.129579 -47.882687 308.6534935884868  14.621231905193685 12.229 11.683 11.55  -44.083096  -2.6942356    0.2147085      4688.363  2.8259237   0.064907   0.039384     
  2M13243182-4830581 201.132597 -48.51614  308.569169197315   13.993068314108658 12.38  11.833 11.705 -4.0445733  -7.875552     -0.016407717   4752.0503 2.9026558   -0.27762   0.229995     
  2M13243291-4721543 201.137163 -47.365097 308.7297040366211  15.133579221582965 13.133 12.664 12.549 236.17122   -3.1376019    -6.535649      5119.4746 2.6966906   -1.654     0.179415     
  2M13243374-4725596 201.140591 -47.433224 308.7227194969847  15.06574716709503  10.39  10.331 10.303 -23.065376  -11.866448    1.4899411      7480.4233 3.7982836   nan         nan           
  2M13243374-4725596 201.140591 -47.433224 308.7227194969847  15.06574716709503  10.39  10.331 10.303 -21.37733   -11.866448    1.4899411      7381.6035 3.9382806   nan         nan           
  2M13243407-4728452 201.141977 -47.479248 308.7173551344978  15.020006116238617 12.597 12.113 11.956 230.53412   -3.8396935    -6.554817      4910.4414 2.308507    -1.6961    0.280765     
  2M13243627-4724470 201.151151 -47.413067 308.73282625584864 15.084776434814284 10.948 10.797 10.749 11.520277   -7.346154     -2.972547      6516.5493 3.756194    -0.22616   0.0652783    
  2M13243746-4730008 201.156105 -47.500229 308.72426562158006 14.997942875547524 13.316 12.803 12.72  249.73349   -3.2855148    -6.6567345     5010.2236 2.433082    -1.8387    0.265885     
  2M13243813-4728391 201.158915 -47.477531 308.7293390431748  15.020186753013784 13.849 13.315 13.281 235.77242   -3.4060397    -6.9547615     4983.6865 2.4943771   -1.4918    0.158605     
  2M13243844-4736586 201.1602   -47.616291 308.7111302752278  14.882543903685358 11.533 10.947 10.89  239.77731   -2.7535145    -6.451379      4786.951  1.6864433   -1.8429    0.30598497   
  2M13243844-4736586 201.1602   -47.616291 308.7111302752278  14.882543903685358 11.533 10.947 10.89  239.00703   -2.7535145    -6.451379      4792.9287 1.8716445   -1.8388    0.269565     
  2M13243855-4727034 201.160646 -47.45097  308.73419866364065 15.046355959994596 10.69  10.097 9.935  232.58594   -3.1151445    -6.2581487     4538.1416 1.2408631   -1.6586    0.307545     
  2M13243855-4727034 201.160646 -47.45097  308.73419866364065 15.046355959994596 10.69  10.097 9.935  232.30566   -3.1151445    -6.2581487     4543.1777 1.2537115   -1.6591    0.271855     
