# APOGEE_ID          RA         DEC        VHELIO_AVG 
  2M13241703-4713153 201.070999 -47.220924 242.60045  
  2M13241760-4722030 201.073365 -47.367512 231.70087  
  2M13241858-4810530 201.077436 -48.181396 0.5171195  
  2M13241871-4745067 201.077999 -47.751877 239.14601  
  2M13242041-4719352 201.085069 -47.326462 228.04494  
  2M13242124-4828089 201.088524 -48.469158 -21.480356 
  2M13242154-4738394 201.089752 -47.644299 227.30441  
  2M13242202-4732223 201.091771 -47.539536 221.7232   
  2M13242207-4737039 201.091974 -47.617764 244.94662  
  2M13242381-4722251 201.099234 -47.373657 225.98337  
  2M13242425-4658374 201.101044 -46.977081 26.463846  
  2M13242483-4757300 201.103493 -47.958351 6.535756   
  2M13242500-4728170 201.104203 -47.471409 ""         
  2M13242511-4833337 201.104651 -48.559387 34.754654  
  2M13242573-4725164 201.107238 -47.421227 236.59117  
  2M13242622-4729383 201.109266 -47.49398  224.62354  
  2M13242637-4656028 201.109889 -46.934113 31.456972  
  2M13242715-4658574 201.113152 -46.982632 -16.16892  
  2M13242791-4726370 201.116298 -47.443623 223.3402   
  2M13242939-4739376 201.122489 -47.660465 27.78111   
  2M13242976-4751461 201.124017 -47.862812 18.859583  
  2M13243032-4715034 201.126355 -47.250961 ""         
  2M13243074-4724264 201.128093 -47.40736  228.50656  
  2M13243103-4730094 201.129309 -47.502628 242.49461  
  2M13243109-4752576 201.129579 -47.882687 -44.083096 
  2M13243182-4830581 201.132597 -48.51614  -4.0445733 
  2M13243291-4721543 201.137163 -47.365097 236.17122  
  2M13243374-4725596 201.140591 -47.433224 -23.065376 
  2M13243374-4725596 201.140591 -47.433224 -21.37733  
  2M13243407-4728452 201.141977 -47.479248 230.53412  
  2M13243627-4724470 201.151151 -47.413067 11.520277  
  2M13243746-4730008 201.156105 -47.500229 249.73349  
  2M13243813-4728391 201.158915 -47.477531 235.77242  
  2M13243844-4736586 201.1602   -47.616291 239.77731  
  2M13243844-4736586 201.1602   -47.616291 239.00703  
  2M13243855-4727034 201.160646 -47.45097  232.58594  
  2M13243855-4727034 201.160646 -47.45097  232.30566  
  2M13243893-4731381 201.162235 -47.527271 238.6278   
  2M13243895-4715532 201.162307 -47.264801 225.5373   
  2M13243911-4714012 201.162994 -47.233669 238.54988  
  2M13243911-4714012 201.162994 -47.233669 238.57089  
  2M13243923-4726238 201.163482 -47.43996  222.37144  
  2M13243958-4721481 201.164956 -47.363373 238.77637  
  2M13244065-4741468 201.169413 -47.696358 246.25333  
  2M13244070-4716011 201.169599 -47.266975 -60.00414  
  2M13244076-4727210 201.169872 -47.455841 240.76915  
  2M13244182-4728298 201.174254 -47.474957 234.13206  
  2M13244260-4740274 201.177536 -47.674282 -17.416117 
  2M13244387-4727030 201.182806 -47.450848 222.33331  
  2M13244450-4735071 201.185449 -47.585308 235.26334  
  2M13244484-4720462 201.186858 -47.34618  231.92274  
  2M13244603-4704580 201.1918   -47.082783 -1.3475475 
  2M13244676-4724486 201.194853 -47.413513 233.89594  
  2M13244676-4724486 201.194853 -47.413513 233.54732  
  2M13244746-4740356 201.197757 -47.676556 77.25036   
  2M13244746-4728016 201.197758 -47.467121 -2.7876866 
  2M13244782-4724351 201.19927  -47.409771 -13.463684 
  2M13244855-4702396 201.202298 -47.044357 -42.057194 
  2M13244938-4746245 201.205764 -47.773495 108.1983   
  2M13245043-4732430 201.210138 -47.545284 232.80315  
  2M13245051-4725400 201.210471 -47.427792 230.59967  
  2M13245256-4726367 201.21903  -47.443554 238.09103  
  2M13245335-4758277 201.222333 -47.974365 -22.190077 
  2M13245376-4755589 201.22402  -47.933037 17.206287  
  2M13245418-4743535 201.225784 -47.731541 237.35115  
  2M13245551-4735256 201.231328 -47.590469 239.04651  
  2M13245597-4717448 201.233209 -47.295803 -26.353167 
  2M13245648-4744287 201.235345 -47.741318 239.39021  
  2M13245648-4744287 201.235345 -47.741318 238.87172  
  2M13245661-4707436 201.23591  -47.128803 -41.224434 
  2M13245734-4817597 201.238942 -48.299919 -12.693775 
  2M13245802-4829224 201.241751 -48.489559 -8.278437  
  2M13245823-4735186 201.242648 -47.588512 227.39128  
  2M13245867-4714029 201.244465 -47.234142 228.89616  
  2M13245867-4714029 201.244465 -47.234142 229.03024  
  2M13245940-4707091 201.247502 -47.119217 222.55276  
  2M13245993-4728085 201.249716 -47.469055 219.5699   
  2M13245993-4728085 201.249716 -47.469055 219.7966   
  2M13250065-4728265 201.25274  -47.474033 241.18173  
  2M13250065-4728265 201.25274  -47.474033 240.90117  
  2M13250069-4719506 201.252884 -47.330727 243.91698  
  2M13250103-4723583 201.25433  -47.399529 -7.52694   
  2M13250103-4723583 201.25433  -47.399529 -17.554987 
  2M13250185-4717381 201.257719 -47.29393  -19.466959 
  2M13250192-4719361 201.258007 -47.326717 234.3883   
  2M13250192-4719361 201.258007 -47.326717 234.36078  
  2M13250213-4812391 201.258888 -48.210869 -33.42144  
  2M13250314-4742351 201.263091 -47.709759 239.69766  
  2M13250496-4717318 201.270696 -47.292183 -11.4756975
  2M13250590-4720486 201.27462  -47.346855 237.39711  
  2M13250598-4709220 201.27492  -47.156113 223.73837  
  2M13250610-4729516 201.275433 -47.497681 229.68982  
  2M13250610-4729516 201.275433 -47.497681 229.57785  
  2M13250649-4758283 201.277063 -47.974537 -17.76456  
  2M13250671-4726526 201.277996 -47.447968 230.19887  
  2M13250712-4755011 201.279693 -47.916981 35.176167  
  2M13250712-4755011 201.279693 -47.916981 34.49947   
  2M13250739-4725051 201.280815 -47.418095 4.4173045  
  2M13250783-4727218 201.282665 -47.456066 250.84503  
  2M13250786-4736537 201.282785 -47.614922 229.6439   
  2M13250787-4732253 201.28281  -47.540367 241.46652  
  2M13250802-4725189 201.283431 -47.421936 238.13976  
  2M13250824-4720197 201.284364 -47.338806 228.34596  
  2M13250845-4720273 201.285225 -47.340939 238.72176  
  2M13250873-4729218 201.286386 -47.489399 228.9629   
  2M13250894-4812397 201.287252 -48.211048 -10.505843 
  2M13250896-4729490 201.287371 -47.496956 233.5692   
  2M13250927-4730338 201.288652 -47.509411 224.62917  
  2M13250968-4727185 201.290366 -47.455158 229.27623  
  2M13251000-4720315 201.291683 -47.342087 239.99783  
  2M13251015-4730495 201.292304 -47.513752 235.24777  
  2M13251093-4737331 201.29556  -47.625877 235.15474  
  2M13251110-4716315 201.296291 -47.275433 48.45122   
  2M13251141-4725088 201.297555 -47.419121 227.66939  
  2M13251161-4727080 201.298408 -47.452225 237.71832  
  2M13251185-4716521 201.299385 -47.281158 234.94463  
  2M13251186-4731006 201.299421 -47.516838 222.51295  
  2M13251218-4736090 201.30077  -47.602524 230.14694  
  2M13251222-4719128 201.300945 -47.320229 224.93996  
  2M13251224-4759138 201.301006 -47.987186 -54.880665 
  2M13251235-4702430 201.301485 -47.045303 -47.315166 
  2M13251253-4734294 201.302222 -47.574848 246.49095  
  2M13251313-4709051 201.304714 -47.151417 -26.552877 
  2M13251340-4721113 201.305863 -47.353146 221.85825  
  2M13251351-4720398 201.306314 -47.344406 221.3526   
  2M13251378-4731312 201.307425 -47.525337 223.63338  
  2M13251408-4726367 201.308681 -47.443554 231.0165   
  2M13251461-4711538 201.310899 -47.19828  -29.294495 
  2M13251469-4755206 201.311218 -47.922401 -83.87734  
  2M13251488-4724454 201.312022 -47.412621 221.55551  
